Credit Transaction ID,Type,Payment Status,Transaction ID,Credit Amount,Label Amount,Currency,Service,Carrier,Created Date
C-772085635,purchase,completed,T-772085635,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:11
C-772085637,purchase,completed,T-772085637,0.03,5.15,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:11
C-772085639,purchase,completed,T-772085639,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:11
C-772085642,purchase,completed,T-772085642,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085644,purchase,completed,T-772085644,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085654,purchase,completed,T-772085654,0.02,4.99,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085650,purchase,completed,T-772085650,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085652,purchase,completed,T-772085652,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085659,purchase,completed,T-772085659,0.07,6.82,USD,UPS_PTP_GROUNDSAVER,UPS,November 01 2025 16:19:12
C-772085657,purchase,completed,T-772085657,0.02,4.79,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:12
C-772085661,purchase,completed,T-772085661,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:13
C-772085664,purchase,completed,T-772085664,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:13
C-772085663,purchase,completed,T-772085663,0.07,6.97,USD,UPS_PTP_GROUNDSAVER,UPS,November 01 2025 16:19:13
C-772085658,purchase,completed,T-772085658,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:13
C-772085660,purchase,completed,T-772085660,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:13
C-772085667,purchase,completed,T-772085667,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:13
C-772085668,purchase,completed,T-772085668,0.02,4.91,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:14
C-772085671,purchase,completed,T-772085671,0.04,8.81,USD,FEDEX_PTP_SMARTPOST,FEDEX,November 01 2025 16:19:14
C-772085669,purchase,completed,T-772085669,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:14
C-772085670,purchase,completed,T-772085670,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:14
C-772085672,purchase,completed,T-772085672,0.03,5.24,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:14
C-772085673,purchase,completed,T-772085673,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085674,purchase,completed,T-772085674,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085676,purchase,completed,T-772085676,0.02,4.88,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085677,purchase,completed,T-772085677,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085679,purchase,completed,T-772085679,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085678,purchase,completed,T-772085678,0.03,5.09,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:15
C-772085682,purchase,completed,T-772085682,0.03,5.37,USD,USPS_PTP_GAL,USPS,November 01 2025 16:19:16
